name,published_date,cumulative_count,delta,date_range,remarks
第71回,2021年10月22日,3,3,2021年8月3日～2021年10月3日,
第72回,2021年11月12日,8,5,2021年8月3日～2021年10月24日,
第73回,2021年12月3日,12,4,2021年8月3日～2021年11月14日,
第74回,2021年12月24日,14,2,2021年8月3日～2021年12月5日,
